 1  7.846 2062
 2  5.807 2062 7858
 3  4.907 9217 7065 3528
 4  4.294 9789 1546 716 3417
 5  3.992 3266 4297 716 5318 9217
 6  3.832 8176 9831 9789 1533 9113 960
 7  3.710 4544 9789 6665 7531 9700 7194 3266
 8  3.503 7659 2045 7543 9217 8176 947 5136 9789
 9  3.438 1080 5907 9017 1434 7543 1128 22 7781 3266
10  3.280 960 2045 9789 3859 7543 6885 7659 1128 6272 4874
11  3.272 960 9017 22 3098 7543 5907 6885 1286 4991 1546 9789
12  3.212 1128 9119 9113 7659 9789 4426 7543 2249 9017 8176 34 7781
13  3.143 3266 4811 1102 5907 559 4544 1128 6885 7659 9119 9789 7543 3098
14  3.162 1546 5907 9789 6900 3859 6176 1434 9113 7659 1128 1102 3266 7543 3098
15  3.150 5907 8176 9789 3266 4752 6224 7531 183 7659 8630 7543 4874 1128 7740 1102
16  3.113 9921 6176 9789 5136 4544 7659 3098 7543 9119 6469 9113 7284 3266 5907 1128 8176
17  3.063 9273 5907 3098 1128 1627 7573 29 9017 6885 4544 9217 9789 7659 7543 674 1134 3953
18  3.084 7543 4184 3266 9217 5907 5158 9789 3098 9113 8669 3595 4544 7659 1942 9273 8176 9351 1128
19  3.062 2139 9113 7781 3859 5907 4426 7543 2783 1128 3098 3266 8176 9789 1102 7659 9119 1434 34 9017
20  3.063 7659 7194 3098 6176 716 9217 9119 34 7573 3266 9789 1128 9273 1102 3859 5907 5891 5122 9113 7543
21  3.080 3266 326 29 7659 3098 9273 34 4544 9217 9789 1128 9119 5907 716 9017 7543 1816 7005 8176 5891 2191
22  3.052 1128 7284 9113 34 9789 3098 9921 7543 1102 4544 7659 9217 7194 9119 4426 3266 7531 5907 4954 8392 9017 3859
23  3.068 9113 4874 5537 1128 5907 2045 9119 6224 4811 4544 3266 34 7543 5891 9789 716 7531 1134 9273 1393 3098 4297 7659
24  3.048 8176 9273 3098 5891 7598 6176 784 3859 8285 1102 1128 9119 9113 9351 9217 9789 3266 4544 7543 5907 7659 4184 6908 7065
25  3.037 4426 7531 8176 3859 4544 674 5907 4015 34 9113 9273 1134 9017 1128 9789 9217 5891 5158 7659 6224 3098 2062 29 7543 4954
